"","station","hour","Transmitter","depth","habitat","Diel","tidemeters","tidestate","benthos","rugosity","dets"
"215","BTT17","2018-06-13 23:00:00","A69-1602-65155",3,"bank","Night",-0.052139,"low","sand",1,10
"216","BTT37","2018-06-13 23:00:00","A69-1602-65067",3,"bank","Night",0.000419,"incoming","seagrass",3,10
"217","BTT18","2018-06-14 00:00:00","A69-1602-65064",2.1,"channel","Night",0.21547,"incoming","seagrass",2,1
"218","BTT27","2018-06-14 00:00:00","A69-1602-65065",2.7,"bank","Night",0.21547,"incoming","sand",1,2
"219","BTT7","2018-06-14 00:00:00","A69-1602-65066",1.6,"basin","Night",0.078067,"incoming","seagrass",2,11
"220","BTT49","2018-06-14 00:00:00","A69-1602-65068",3,"channel","Night",0.094841,"incoming","seagrass",3,1
"221","BTT13","2018-06-14 00:00:00","A69-1602-65069",2.8,"basin","Night",0.419315,"incoming","seagrass",3,10
"222","BTT54","2018-06-14 00:00:00","A69-1602-65070",3.4,"channel","Night",-0.252428,"low","sand",1,7
"223","BTT46","2018-06-14 00:00:00","A69-1602-65071",2,"basin","Night",0.094841,"incoming","seagrass",1,8
"224","BTT17","2018-06-14 00:00:00","A69-1602-65155",3,"bank","Night",0.078067,"incoming","sand",1,8
"225","BTT37","2018-06-14 00:00:00","A69-1602-65067",3,"bank","Night",0.094841,"incoming","seagrass",3,12
"226","BTT18","2018-06-14 01:00:00","A69-1602-65064",2.1,"channel","Night",0.419315,"incoming","seagrass",2,0
"227","BTT27","2018-06-14 01:00:00","A69-1602-65065",2.7,"bank","Night",0.419315,"incoming","sand",1,2
"228","BTT7","2018-06-14 01:00:00","A69-1602-65066",1.6,"basin","Night",0.225998,"incoming","seagrass",2,9
"229","BTT49","2018-06-14 01:00:00","A69-1602-65068",3,"channel","Night",0.1827,"incoming","seagrass",3,3
"230","BTT13","2018-06-14 01:00:00","A69-1602-65069",2.8,"basin","Night",0.561126,"high","seagrass",3,9
"231","BTT54","2018-06-14 01:00:00","A69-1602-65070",3.4,"channel","Night",-0.183582,"low","sand",1,6
"232","BTT46","2018-06-14 01:00:00","A69-1602-65071",2,"basin","Night",0.1827,"incoming","seagrass",1,8
"233","BTT17","2018-06-14 01:00:00","A69-1602-65155",3,"bank","Night",0.225998,"incoming","sand",1,9
"234","BTT37","2018-06-14 01:00:00","A69-1602-65067",3,"bank","Night",0.1827,"incoming","seagrass",3,11
"235","BTT18","2018-06-14 02:00:00","A69-1602-65064",2.1,"channel","Night",0.561126,"high","seagrass",2,0
"236","BTT27","2018-06-14 02:00:00","A69-1602-65065",2.7,"bank","Night",0.561126,"high","sand",1,3
